Job,Position,Data
Sales / Marketing Job in Connaught Place Delhi,Sales / Marketing,"


Connaught Place, Kirti nagar, Badarpur, ROHINI

₹ 18,000 to ₹ 22,000






Fresher


12th Standard
Any Timing




Any Gender

Hindi,English,Urdu
Hindi,English,Urdu
98 Opening (s)




Good communication




Job Description
 




Domestic Inbound / Outbound voice process (Calling) for Fresher  *Salary- Upto Rs 25k * Must- Good English *Graduates/ UG * D 









 APPLY NOW












"
Business Analyst / Data Analyst job in Rajguru Nagar Ludhiana,Business Analyst / Data Analyst,"


Rajguru Nagar

₹ 13,000 to ₹ 36,000






Fresher


10th Standard
Any Timing




Any Gender

Punjabi,English,Hindi
Punjabi,English,Hindi
18 Opening (s)




Others - good communication




Job Description
 




Required Others - good communication,personality,hardworker 








 CALL NOW













"
Housekeeping Job in Noida sec. 63 Noida,Housekeeping,"


Noida sec. 63

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Job Description
 




Office boy cleaning outdoor work very less 








 CALL NOW













"
Field Kyc Excutive - Bank -Bengaluru,Delivery / Field,"


Nagavara, Lingarajapuram, Horamavu, J.C.nagar, Vartur

₹ 14,000 to ₹ 25,000






Fresher


10th Standard
Any Timing


Male



Kannada
Kannada
15 Opening (s)




Delivery, Collection




Job Description
 




Required Field KYC Executive - Bank 









 APPLY NOW












"
BPO / Data Entry / Computer Operator job in Thane Mumbai,BPO / Data Entry / Computer Operator,"


thane

₹ 5,000 to ₹ 25,000






Fresher


Below 10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
25 Opening (s)




Basics of computer,  Non technical support,  Technical support,  Non voice,  Voice,  Good communication,  Email writing & Etiquette,  Inbound,  Outbound




Job Description
 




Required Basics of computer, Non technical support, Technical support, Non voice, Voice, Good communication, Email writing & Etiquette, Inbound, Outbound 









 APPLY NOW












"
Call Center Job In Uttamnagar.,Call Center,"


Uttam Nagar

₹ 8,000 to ₹ 18,000






Fresher


10th Standard
Full Time (Day)




Any Gender

Hindi
Hindi
10 Opening (s)




Voice




Job Description
 




Required Voice 









 APPLY NOW












"
House-keeping Supervisor,Maid / Servant,"


Noida sec. 137

₹ 5,000 to ₹ 21,000

6 Months to 1 Year


12th Standard
Full Time (Day)


Male



Hindi,English
Hindi,English
2 Opening (s)




Well Mannered, Time management, Positive attitude, Good communication




Job Description
 




Required Well Mannered,Time management,Positive attitude,Good communication 








 CALL NOW













"
Hr Executive,HR / Administrator,"


Sector-14-sonipat

₹ 13,000 to ₹ 16,000

6 Months to 1 Year


Graduation - Any Stream
Full Time (Day)




Any Gender

Hindi,English
Hindi,English
2 Opening (s)




Payroll processing, Attendance & Leave management, Hiring process, Clerical work, Basics of computer, Email writing & Etiquette




Job Description
 




Urgently need a male or female candidate for hr executive at sonipat location 








 CALL NOW













"
Office Assistant / Clerk / Back Office Job in I.E.sahibabad Ghaziabad,Office Assistant / Clerk / Back Office,"


I.E.sahibabad

₹ 5,000 to ₹ 10,000

6 Months to 1 Year


12th Standard
Full Time (Day)



Female


Hindi,English
Hindi,English
1 Opening (s)




Basic book keeping, Basics of computer, Filing documents, Email writing & Etiquette




Job Description
 




Required Basic book keeping,Basics of computer,Filing documents,Email writing & Etiquette 









 APPLY NOW












"
Call Center job in Uttam Nagar Delhi,Call Center,"


Uttam Nagar

₹ 10,000 to ₹ 14,000






Fresher


12th Standard
Full Time (Day)



Female


English,Hindi
English,Hindi
4 Opening (s)




Telesales




Job Description
 




Required Telesales 









 APPLY NOW












"
Call Center job in Uttam Nagar Delhi,Call Center,"


Uttam Nagar

₹ 10,000 to ₹ 12,000






Fresher


12th Standard
Full Time (Day)



Female


English,Hindi
English,Hindi
2 Opening (s)




Domestic




Job Description
 




Required Domestic 









 APPLY NOW












"
Sales / Marketing job in Pune City Pune,Sales / Marketing,"


Pune City

₹ 10,000 to ₹ 15,000






Fresher


12th Standard
Full Time (Night)




Any Gender

English,Hindi
English,Hindi
10 Opening (s)




Brand Marketing,  Field Sales




Job Description
 




Required Brand Marketing, Field Sales 









 APPLY NOW












"
Sales / Marketing job ,Sales / Marketing,"


Jntu Kukat pally

₹ 15,000 to ₹ 30,000

6 Months to 1 Year


12th Standard
Full Time (Day)


Male



Telugu
Telugu
54 Opening (s)




Good communication




Job Description
 




Required Good communication 









 APPLY NOW












"
