Job,Position,Data
Safety / Fire Officer job in Maujpur Delhi,Safety / Fire Officer,"['', '', '', 'Maujpur', '', '₹ 15,000 to ₹ 21,000', '', '6 Months to 1 Year', '', '', '12th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'English,Hindi', '5 Opening (s)', '', '', '', '', 'Army background,  Good communication,  Quick Responding', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Army background, Good communication, Quick Responding ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'CALL NOW', '', '', '', '', '', '', '']"
BPO / Data Entry / Computer Operator job in Gurgaon Gurgaon,BPO / Data Entry / Computer Operator,"['', '', '', 'Gurgaon', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', 'Graduation - Any Stream', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'English,Hindi', '5 Opening (s)', '', '', '', '', 'Basics of computer,  MS Excel,  Good communication,  Quality assurance,  Analytical ability,  Customer support,  Voice', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer, MS Excel, Good communication, Quality assurance, Analytical ability, Customer support, Voice ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Vaishali Nagar Jaipur,Office Assistant / Clerk / Back Office,"['', '', '', 'Vaishali Nagar', '', '₹ 7,000 to ₹ 14,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'Hindi', 'Hindi', '5 Opening (s)', '', '', '', '', 'Others - secretial', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Others - secretial  ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Housekeeping job in Bhorgarh Delhi,Housekeeping,"['', '', '', 'Bhorgarh', '', '₹ 5,000 to ₹ 10,000', '', '6 Months to 1 Year', '', '', '10th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi', 'Hindi', '1 Opening (s)', '', '', '', '', 'Outdoor Sweeping & Moping,  Indoor Sweeping & Moping,  Bathroom cleaning,  Kitchen cleaning', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Outdoor Sweeping & Moping, Indoor Sweeping & Moping, Bathroom cleaning, Kitchen cleaning ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Shalimar Bagh Delhi,Office Assistant / Clerk / Back Office,"['', '', '', 'Shalimar Bagh', '', '₹ 5,000 to ₹ 10,000', '', '6 Months to 1 Year', '', '', 'Graduation - Any Stream', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English,Hindi', 'English,Hindi', '2 Opening (s)', '', '', '', '', 'Inventory Management,  Email writing & Etiquette,  Cash & Bank handling,  Communication centre,  Basics of computer,  Filing documents', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Inventory Management, Email writing & Etiquette, Cash & Bank handling, Communication centre, Basics of computer, Filing documents ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Vikas Nagar Lucknow,Sales / Marketing,"['', '', '', 'Vikas Nagar', '', '₹ 5,000 to ₹ 30,000', '', '1 Month to 6 Months', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '20 Opening (s)', '', '', '', '', 'Brand Marketing', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Brand Marketing ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Sector-4 Gurgaon,Office Assistant / Clerk / Back Office,"['', '', '', 'Sector-4', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', 'Graduation - Any Stream', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'English,Hindi', '5 Opening (s)', '', '', '', '', 'Basics of computer,  Communication centre', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer, Communication centre ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Delivery / Field job in Beleghata Kolkata,Delivery / Field,"['', '', '', 'Beleghata, Bengal Chemical, Narkeldanga, Tangra, Phulbagan', '', '₹ 9,000 to ₹ 15,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Part Time (Afternoon)', '', '', 'Male', '', '', '', 'Bengali,Hindi', 'Bengali,Hindi', '10 Opening (s)', '', '', '', '', 'Delivery', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Delivery ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Call Center job in Thygaraya Nagar Chennai,Call Center,"['', '', '', 'Thygaraya Nagar', '', '₹ 10,000 to ₹ 20,000', '', '', '', '', '', '', 'Fresher', '', '', 'Graduation - Any Stream', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English', 'Malayam,Telugu', '5 Opening (s)', '', '', '', '', 'Voice,  Outbound,  Domestic,  MS Excel', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Voice, Outbound, Domestic, MS Excel ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Ichapur Rd Howrah,Office Assistant / Clerk / Back Office,"['', '', '', 'Ichapur Rd', '', '₹ 5,000 to ₹ 6,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Part Time (Morning)', '', '', '', 'Female', '', '', 'Hindi', 'Hindi', '4 Opening (s)', '', '', '', '', 'Others - smart,  Can operate', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Others - smart, Can operate ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Receptionist / Front Office job in Gandhi Nagar Delhi,Receptionist / Front Office,"['', '', '', 'Gandhi Nagar, Dwarka Sec-10, Narela, Raghubeer nagar, Inderlok', '', '₹ 11,000 to ₹ 18,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Basics of computer,  Good communication,  Incoming call handling', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer, Good communication, Incoming call handling ', '', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '']"
Accountant job in Punjabi Bagh Delhi,Accountant,"['', '', '', 'Punjabi Bagh, Nangloi, Gandhi Nagar, Kapashera, Badarpur', '', '₹ 11,000 to ₹ 19,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Book keeping', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Book keeping ', '', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Netaji Nagar Delhi,Sales / Marketing,"['', '', '', 'Netaji Nagar, Inderlok, Kapashera, Pahar Ganj, Mukundpur', '', '₹ 15,000 to ₹ 19,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Basics of computer,  MS Excel', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer, MS Excel ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Jamia Nagar Delhi,Office Assistant / Clerk / Back Office,"['', '', '', 'Jamia Nagar, Ghitorni, Balbir Nagar, Nangloi, Hari Nagar', '', '₹ 15,000 to ₹ 19,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Basics of computer', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer ', '', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '']"
Delivery / Field job in Ansari Nagar Delhi,Delivery / Field,"['', '', '', 'Ansari Nagar, Kapashera, Jahangir Puri a block, Rajokari, Dwarka sec. 21', '', '₹ 15,000 to ₹ 21,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Collection', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Collection ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Naichana Rewari,Office Assistant / Clerk / Back Office,"['', '', '', 'Naichana, Suthana, Jhabuwa, Nangal Teju, Banipur', '', '₹ 5,000 to ₹ 17,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'With Accommodation', '', '', '', 'Female', '', '', 'Hindi', 'Hindi', '5 Opening (s)', '', '', '', '', 'Basics of computer,  Filing documents,  Communication centre', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer, Filing documents, Communication centre ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Data Collection / Survey job in Mehrauli Delhi,Data Collection / Survey,"['', '', '', 'Mehrauli, Crpf Jharoda kalan, Timarpur, Azadpur, Pitampura', '', '₹ 15,000 to ₹ 20,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Data collection', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Data collection ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Call Center job in Hauz Qazi Delhi,Call Center,"['', '', '', 'Hauz Qazi, Okhla Industrial area phase-i, Punjabi Bagh, Nangloi, Azad Nagar', '', '₹ 10,000 to ₹ 17,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Domestic,  International,  Inbound,  Outbound,  Voice', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Domestic, International, Inbound, Outbound, Voice ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
BPO / Data Entry / Computer Operator job in Punjabi Bagh Delhi,BPO / Data Entry / Computer Operator,"['', '', '', 'Punjabi Bagh, Shastri Nagar, Nangloi, Bijwasan, Hauz Khas', '', '₹ 11,000 to ₹ 18,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '250 Opening (s)', '', '', '', '', 'Domestic,  Inbound,  International,  Outbound,  Non voice,  Voice', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Domestic, Inbound, International, Outbound, Non voice, Voice ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Shaniwar Peth Kolhapur,Sales / Marketing,"['', '', '', 'Shaniwar Peth, Kasba Bavada, Shivaji Udyam nagar, Kolhapur City', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Hindi', 'Marathi', '5 Opening (s)', '', '', '', '', 'Field Sales,  Promoter,  Brand Marketing', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Field Sales, Promoter, Brand Marketing ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
IT Software - Development job in Noida,IT Software - Development,"['', '', '', 'Sec-15 Noida', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'Hindi', 'Hindi', '5 Opening (s)', '', '', '', '', 'Framework', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Need Freshers ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Cook / Helper Job in Prashant Vihar Delhi,Cook / Helper,"['', '', '', 'Prashant Vihar, Rohini sec 14', '', '₹ 5,000 to ₹ 12,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi', 'Hindi', '3 Opening (s)', '', '', '', '', 'Can cook-Veg, Can cook-North Indian, Can cook-Indian sweets', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Can cook-Veg,Can cook-North Indian,Can cook-Indian sweets ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'CALL NOW', '', '', '', '', '', '', '']"
Sales / Marketing job in Vasant Vihar-1 Delhi,Sales / Marketing,"['', '', '', 'Vasant Vihar-1', '', '₹ 5,000 to ₹ 60,000', '', '1 Month to 7+ Years', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '50 Opening (s)', '', '', '', '', 'Field Sales,  Brand Marketing', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Field Sales, Brand Marketing ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Business Development Executive,Insurance Consultant,"['', '', '', 'Dwarka', '', '₹ 5,000 to ₹ 24,000', '', '6 Months to 9 Months', '', '', '12th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English', 'English', '50 Opening (s)', '', '', '', '', 'Analytical ability,  Management Skills,  Good communication,  Good negotiation ability', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Analytical ability, Management Skills, Good communication, Good negotiation ability ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Tele Sales/ Tele Caller,Call Center,"['', '', '', 'Naraina Industrial estate', '', '₹ 10,000 to ₹ 15,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full time - Day', '', '', '', 'Female', '', '', 'Hindi,English', 'Hindi,English', '15 Opening (s)', '', '', '', '', 'Domestic, Outbound, Voice, Telesales, Customer support', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Its a personal loan national dsa...Do calling  for personal loan. ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Hisar City Hisar,Sales / Marketing,"['', '', '', 'Hisar City', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '12 Opening (s)', '', '', '', '', 'Good confidence level', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Good confidence level ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Delivery / Field job in Jhotwara Jaipur,Delivery / Field,"['', '', '', 'Jhotwara', '', '₹ 5,000 to ₹ 12,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'Hindi', '25 Opening (s)', '', '', '', '', 'Collection,  Others - refering', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Collection, Others - refering ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Bhulanpur Pac Varanasi,Sales / Marketing,"['', '', '', 'Bhulanpur Pac, Chetganj', '', '₹ 5,000 to ₹ 18,000', '', '6 Months to 4 Years', '', '', 'Graduation - Any Stream', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '45 Opening (s)', '', '', '', '', 'Promoter', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Promoter ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sales / Marketing job in Jhotwara Jaipur,Sales / Marketing,"['', '', '', 'Jhotwara', '', '₹ 18,000 to ₹ 22,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'Hindi', '47 Opening (s)', '', '', '', '', 'Basics of computer,  Field Sales,  Door to door,  Merchandized,  Promoter', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer, Field Sales, Door to door, Merchandized, Promoter ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Job Opening For The Post Of Macinical Engineer, Eletrical  I T I,fitter,  Welder,  Helper In Our Company",Electrician,"['', '', '', 'THANE', '', '₹ 19,000 to ₹ 35,000', '', '1 Month to 2 Years', '', '', '10th Standard', 'With Accommodation', '', '', 'Male', '', '', '', 'Hindi,English', 'Hindi,English', '40 Opening (s)', '', '', '', '', 'Maintenance / repair of electrical system , Installing & maintaining electrical system', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Maintenance / repair of electrical system ,Installing & maintaining electrical system ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Digital Marketing Job in Pitampura Delhi,Digital Marketing,"['', '', '', 'Pitampura', '', '₹ 25,000 to ₹ 40,000', '', '3 Years to 7+ Years', '', '', '12th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'Hindi', '4 Opening (s)', '', '', '', '', 'Digital Media Planning, Marketing Platform-Search Engine , Marketing Platform-Google AdWords, Marketing Platform-Google AdSense, Marketing Platform-Facebook , Marketing Platform-Linkedin , Marketing Platform-Twitter , Marketing Platform-Instagram ', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Digital Media Planning,Marketing Platform-Search Engine ,Marketing Platform-Google AdWords,Marketing Platform-Google AdSense,Marketing Platform-Facebook ,Marketing Platform-Linkedin ,Marketin ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Graphics Designer,Designer,"['', '', '', 'Pitampura', '', '₹ 12,000 to ₹ 16,000', '', '6 Months to 4 Years', '', '', '12th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English,Hindi', 'Hindi', '3 Opening (s)', '', '', '', '', 'Design-Graphic ', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Design-Graphic ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Business Analyst / Data Analyst job in Bhagat Singh market Delhi,Business Analyst / Data Analyst,"['', '', '', 'Bhagat Singh market, bhai randhir Singh nagar', '', '₹ 10,000 to ₹ 30,000', '', '', '', '', '', '', 'Fresher', '', '', 'Below 10th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '22 Opening (s)', '', '', '', '', 'Others - cummincation skill', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Others - cummincation skill ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Office Assistant / Clerk / Back Office job in Shivalik Nagar Haridwar,Office Assistant / Clerk / Back Office,"['', '', '', 'Shivalik Nagar', '', '₹ 15,000 to ₹ 49,000', '', '6 Months to 7+ Years', '', '', 'Above Post Graduate', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'Assamese,English,Hindi', 'Assamese,English,Hindi', '30 Opening (s)', '', '', '', '', 'Basics of computer,  Can operate', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer, Can operate ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Business Analyst / Data Analyst job in Gomtinagar Vistar Lucknow,Business Analyst / Data Analyst,"['', '', '', 'Gomtinagar Vistar, Gomtinagar', '', '₹ 14,000 to ₹ 30,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Full Time (Day)', '', '', '', '', 'Any Gender', '', 'English,Hindi', 'English,Hindi', '10 Opening (s)', '', '', '', '', 'Basics of computer', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer ', '', '', '', '', '', '', '', '', ' CALL NOW', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Call Center job in Tilak Nagar Delhi,Call Center,"['', '', '', 'Tilak Nagar', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English,Hindi', 'English,Hindi', '25 Opening (s)', '', '', '', '', 'Telesales', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Telesales ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Receptionist/ Data Entry / Computer Operator job in Patna Sectt. Patna,BPO / Data Entry / Computer Operator,"['', '', '', 'Patna Sectt.', '', '₹ 5,000 to ₹ 6,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Any Timing', '', '', '', 'Female', '', '', 'Hindi', 'Hindi', '2 Opening (s)', '', '', '', '', 'Basics of computer', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Basics of computer ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Fresher Office Staff In Prashant Vihar For Wellness Center,Office Assistant / Clerk / Back Office,"['', '', '', 'Prashant Vihar', '', '₹ 5,000 to ₹ 10,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'Hindi', 'Hindi', '10 Opening (s)', '', '', '', '', 'Communication centre, Hospitality and Speaking', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required staff who can attend customers who comes for physiotherapy sessions. Aware Customers and provide lectures ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Accountant Job In Shanti Mohalla, Gandhi Nagar Delhi , At Ca Office",Accountant,"['', '', '', 'Shanti Mohalla', '', '₹ 8,000 to ₹ 12,000', '', '1 Year to 5 Years', '', '', 'B.Com', 'Full Time (Day)', '', '', '', 'Female', '', '', 'Hindi,English', 'Hindi,English', '1 Opening (s)', '', '', '', '', 'Book keeping, Compliance-TDS, Compliance-GST', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Book keeping,Compliance-TDS,Compliance-GST ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Electrician,Electrician,"['', '', '', 'Laxmi Nagar', '', '₹ 10,000 to ₹ 15,000', '', '6 Months to 1 Year', '', '', 'Graduation - Any Stream', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'English,Hindi', '2 Opening (s)', '', '', '', '', 'Maintenance / repair of electrical system ,  Laying wiring for new building ,  Installing & maintaining electrical system', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Maintenance / repair of electrical system , Laying wiring for new building , Installing & maintaining electrical system ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'CALL NOW', '', '', '', '', '', '', '']"
Sales / Marketing job in Jalandhar City Jalandhar,Sales / Marketing,"['', '', '', 'Jalandhar City', '', '₹ 15,000 to ₹ 26,000', '', '', '', '', '', '', 'Fresher', '', '', '12th Standard', 'Any Timing', '', '', '', '', 'Any Gender', '', 'Punjabi,English,Hindi', 'Punjabi,English,Hindi', '3 Opening (s)', '', '', '', '', 'Good confidence level,  Promoter,  Field Sales,  Good communication', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Good confidence level, Promoter, Field Sales, Good communication ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Call Center job in Tilak Nagar Delhi,Call Center,"['', '', '', 'Tilak Nagar', '', '₹ 5,000 to ₹ 15,000', '', '', '', '', '', '', 'Fresher', '', '', '10th Standard', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English,Hindi', 'English,Hindi', '25 Opening (s)', '', '', '', '', 'Domestic,  Outbound,  Telesales', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Domestic, Outbound, Telesales ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Receptionist / Front Office job in Ajmer Road Jaipur,Receptionist / Front Office,"['', '', '', 'Ajmer Road', '', '₹ 12,000 to ₹ 15,000', '', '', '', '', '', '', 'Fresher', '', '', 'Graduation - Any Stream', 'Full Time (Day)', '', '', '', 'Female', '', '', 'English,Hindi', 'Hindi', '5 Opening (s)', '', '', '', '', 'Good communication,  Basics of computer,  Incoming call handling,  Email writing & Etiquette', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Good communication, Basics of computer, Incoming call handling, Email writing & Etiquette ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Accountant Job in Narela Narela,Accountant,"['', '', '', 'Narela', '', '₹ 10,000 to ₹ 40,000', '', '1 Month to 7+ Years', '', '', 'B.Com', 'Full Time (Day)', '', '', 'Male', '', '', '', 'Hindi,English', 'Hindi,English', '30 Opening (s)', '', '', '', '', 'Book keeping, Cash / Bank handling, Billing & Collection, Software-ERP, Software-MS Excel, Software-Busy, Compliance-GST', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Book keeping,Cash / Bank handling,Billing & Collection,Software-ERP,Software-MS Excel,Software-Busy,Compliance-GST ', '', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '']"
BPO / Data Entry / Computer Operator job in Krishna Nagar Delhi,BPO / Data Entry / Computer Operator,"['', '', '', 'Krishna Nagar', '', '₹ 10,000 to ₹ 15,000', '', '1 Year to 2 Years', '', '', 'B.C.A.', 'Full Time (Day)', '', '', 'Male', '', '', '', 'English,Hindi', 'English,Hindi', '1 Opening (s)', '', '', '', '', 'Technical support,  Basics of computer,  MS Excel,  Good communication,  Email writing & Etiquette', '', '', '', '', 'Job Description', ' ', '', '', '', '', 'Required Technical support, Basics of computer, MS Excel, Good communication, Email writing & Etiquette ', '', '', '', '', '', '', '', '', '', ' APPLY NOW', '', '', '', '', '', '', '', '', '', '', '', '', '']"
